simetride	Simetrid
membrane phenotype	Membranphänotyp
state social-welfare service	staatliche Sozialfürsorge|staatliche Wohlfahrtshilfe
Alpha level	Irrtumswahrscheinlichkeit
tiludronic acid	Tiludroninsäure
woollen sheath for amputation stumps	Schlauchstuetzverband fuer Amputationsstuempfe
customised block	Individualabsorber
cefozopran	Cefozopran
slip-joint	Ileosakralgelenk|Articulus sacroilicus|Sakro-iliakalgelenk|Articulatio sacro-iliaca
sacroiliac joint	Ileosakralgelenk|Articulus sacroilicus|Sakro-iliakalgelenk|Articulatio sacro-iliaca
sacro-iliac joint	Ileosakralgelenk|Articulus sacroilicus|Sakro-iliakalgelenk|Articulatio sacro-iliaca
demaissifying	Individualisierung|Fragmentierung
starting serum dilution	Anfangsverdünnung des Serums
single photon emission type gamma tomography	Gamma-Tomografie mit Ein-Foton-Emission - Gamma-Tomographie mit Ein-Photon-Emission
pentopril	Pentopril
molecular basis	molekulare Basis
enrofloxacin	Enrofloxacin
Sever’s Disease	Apophysitis calcanei|Sever Krankheit
selected plant	Elitepflanze
ecotone	Ekoton
pseudopodia	Pseudopodien
Moderator variable	moderierende Variable
bacteriologist	Bakteriologe
overdosing	Überdosierung
anaplasty	Anaplastik
pigmentary retinopathy	Retinopathia pigmentosa
EUAL procedure	Notfallzulassung
Emergency Use Assessment and Listing procedure	Notfallzulassung
EUL procedure	Notfallzulassung
Emergency Use Listing procedure	Notfallzulassung
presbyatrics	Geriatrie|Altersheilkunde
geriatrics	Geriatrie|Altersheilkunde
catchment area	Einzugsgebiet|Einzugsbereich
Pagenstecher operation	Pagenstecher-Operation
bath-extracts	Badezusatz
bath-admixtures	Badezusatz
inhibitor of iron absorption	Eisenresorptionsinhibitor
European Programme for Action to Confront HIV/AIDS, Malaria and Tuberculosis through External Action (2007-2011)	Europäisches Aktionsprogramm zur Bekämpfung von HIV/AIDS, Malaria and Tuberkulose durch Aussenmaßnahmen (2007-2011)
purity of species	Artreinheit
DLE	diskoidaler lupus erythematodes
discoid lupus erythematosus	diskoidaler lupus erythematodes
ankylosis	Ankylose|Gelenkversteifung
classic respiratory diphtheria	klassische respiratorische Diphtherie
oecological niche	Biotop|Lebensstaette
biotop	Biotop|Lebensstaette
biotope	Biotop|Lebensstaette
medical and health research	medizinische und Gesundheitsforschung
controlled growth	kontrollierte Vermehrungsphase
panmixis	Panmixie
panmixia	Panmixie
panmixie	Panmixie
dominance	Dominanz
organogenetic	organbildend
tubular gauze	Schlauchgaze
insect resistant to transmitting the parasite	gegenüber der Parasitenübertragung refraktäres Insekt
supplies	Vorräte-Roh-,Hilfs-und Betriebsstoffe
step-like filter	Keilfilter
wedge filter	Keilfilter
coitus	Coitus|Congressus|Beischlaf|Concubitus|Geschlechtsverkehr|Cohabitatio|Beiwohnung
sexual union	Coitus|Congressus|Beischlaf|Concubitus|Geschlechtsverkehr|Cohabitatio|Beiwohnung
coition	Coitus|Congressus|Beischlaf|Concubitus|Geschlechtsverkehr|Cohabitatio|Beiwohnung
sexual intercourse	Coitus|Congressus|Beischlaf|Concubitus|Geschlechtsverkehr|Cohabitatio|Beiwohnung
wicker	Korbgeflecht
listed third country, territory or zone thereof	gelistetes Drittland, Gebiet oder Zone derselben
heating system	Beheizungsart
prazitone	Praziton
high-oestrogen oral contraceptive	hochöstrogenhaltiges orales Verhütungsmittel
odontology	Odontologie
neuroticism	Neurotizismus
consignment	Sendung
UDI	einmalige Produktkennung|UDI
unique device identifier	einmalige Produktkennung|UDI
unique device identification	einmalige Produktkennung|UDI
animal pathology	Tierpathologie
word-form and sentence implementation	Bildung von Wortformen und Sätzen
actinogram	Aktinogramm
carpipramine	Carpipramin
pentoxyverine	Pentoxyverin
nafamostat	Nafamostat
metatarsus adductus	metatarsus adductus|metatarsus varus|pes adductus
metatarsus varus	metatarsus adductus|metatarsus varus|pes adductus
pes adductus	metatarsus adductus|metatarsus varus|pes adductus
mush	Brei|Pueree
pap	Brei|Pueree
bornelone	Bornelon
endocrine	endokrin
endocrinal	endokrin
collagenase	Collagenase
drug clinic	Drogenklinik
injection of PEG-ADA	Injektion von PEG-ADA
emotional stability	Ausgeglichenheit der Gefühle
general arousal	Wachsamkeit
consistency	Konsistenz
2-naphtylamine	2-Naphthylamin
beta-naphthylamine	2-Naphthylamin
waterbath for poultry	Wasserbecken zum Betäuben von Geflügel
phase III	Alveolar-Plateau-Bildung
alveolar gas plateau	Alveolar-Plateau-Bildung
activator	embryonaler Aktivator
radioactive iron study	Untersuchung des Plasmaeisenumsatzes und der Eisenutilisation mit radioaktivem Eisen
neural system mediating memory	gedächtnisaufbauendes neuronales System
speech audiometer	Sprachaudiometer
obtaining and maintaining a Community marketing authorisation	Erteilung und Aufrechterhaltung einer Gemeinschaftsgenehmigung
plasma catecholamines	Catecholamine|Katecholamine
integration	Integrierung|Integration
anencephalous foetus	gehirnloser Fötus
tigemonam	Tigemonam
clanfenur	Clanfenur
sick building syndrome	Sick-Building-Syndrom|gebäudebezogene Krankheit
SBS	Sick-Building-Syndrom|gebäudebezogene Krankheit
European Organisation for Research and Treatment of Cancer	Europäische Organisation für Krebsforschung und -behandlung|EORTC
EORTC	Europäische Organisation für Krebsforschung und -behandlung|EORTC
endometrial biopsy	Biopsie am Endometrium
sputtering oxifluorides	Beschichtung aus Oxyfluoriden
bullous eruption	Blasenausschlag
dyspepsia	Dyspepsie
flusoxolol	Flusoxolol
aggravated disability	Verschlimmerung der Behinderung
sharing of diagnostic tools	gemeinsame Nutzung von Diagnostikwerkzeugen
EU Pandemic State of Emergency	Pandemie-Notstand der EU
osutidine	Osutidin
controlled area monitored by health physics personnel	von Strahlenschutzpersonal ueberwachter Kontrollbereich
endo-polyploid	endopolyploid
acemetacin	Acemetacin
incision	Inzision|Einschnitt|Einschneiden|Incisio
perforated metal slab	perforierte Schallschluckplatte|perforierte Schallschluckfolie
perforated panel	perforierte Schallschluckplatte|perforierte Schallschluckfolie
viloxazine	Viloxazin
anti-Kidd antibody	anti-Kidd Antikörper
'EudraTrack-MR'	"Überwachungssystem ""EudraTrack-MR"" für das dezentralisierte Verfahren"
tracking system for the decentralised procedure, 'EudraTrack-MR'	"Überwachungssystem ""EudraTrack-MR"" für das dezentralisierte Verfahren"
clastogen	Klastogen
beta-amyloid protein	Beta-Amyloid-Protein
genetic research	Genforschung
blood product	Blutderivat
xenia	Xenie
spectral analysis	Spektralanalyse
substance transmitted to meat	Stoffe, die in Fleisch übergehen
ochre	Ochre-
dentistry	Zahntechnik
piritrexim	Piritrexim
apazone	Apazone
ivermectin	Ivermectin
maximal expiratory level	maximale Exspirationslage
adenylcyclase	Adenylcyclase
intermittent exposure	intermittierende Exposition
disopyramide	Disopyramid
parasympathicomimetic	Mittel zur Reizung des Parasympathikus
National Institute for Public Health and the Environment	Staatliches Institut für Gesundheit und Umwelt|Staatliches Institut für Gesundheitswesen und Umweltschutz
RIVM	Staatliches Institut für Gesundheit und Umwelt|Staatliches Institut für Gesundheitswesen und Umweltschutz
Dutch National Institute for Public Health and the Environment	Staatliches Institut für Gesundheit und Umwelt|Staatliches Institut für Gesundheitswesen und Umweltschutz
National Institute for Public Health and Environmental Protection	Staatliches Institut für Gesundheit und Umwelt|Staatliches Institut für Gesundheitswesen und Umweltschutz
nifuratrone	Nifuratron
scheduled substance	erfasster Stoff
short-term dietary toxicity	Kurzzeittoxizität
hearing	Hörvermögen
metabolid load	metabolische Belastung
generic veterinary medicinal product	generisches Tierarzneimittel
equilibration of chamber concentrations	einheitliche Testkammerkonzentration
blood product	Blutderivat|Blutprodukt
drug allergy	Arzneimittelallergie
consensus conference	Konsenskonferenz
vertigo	Vertigo|Schwindel
purification of proteins produced by tumor cells	Reinigung der von den Krebszellen produzierten Proteine
chemotherapy	Chemotherapie
diluent	Verschnittmittel|Verdünnungsmittel
dependent variable	abhängige Variable
hospital equipment	Krankenhausgeräte|Krankenhauseinrichtung
papulopruritic eruption	juckende Follikulitis
itchy folliculitis	juckende Follikulitis
hybrid veterinary medicinal product	hybrides Tierarzneimittel
doramectin	Doramectin
neutrophilic granulocytic leukemia of Weil	Neutrophilenleukämie Weil
vascular ultrasound apparatus	Gefässdoppler|Gefässdopplergerät
speech reception	Sprachaufnahme|Sprachempfang
bithionoloxide	Bithionoloxid
malignant fibrous histiocytoma	malignes fibröses Histiozytom
mitosper	Mitosper
caecum	Blinddarm|Zoekum|Zaekum|Coecum|Cecum|Intestinum caecum|Caecum
chronic alcoholism	chronischer Äthylismus|chronischer Alkoholismus|chronische Alkoholvergiftung
tiracizine	Tiracizin
cognitive development	kognitive Entwicklung
gestodene	Gestoden
Community action programme on health promotion, information, education and training	Aktionsprogramm der Gemeinschaft für Gesundheitsförderung, Aufklärung, Erziehung und Ausbildung|Aktionsprogramm der Gemeinschaft zur Gesundheitsförderung, -aufklärung, -erziehung und -ausbildung|Aktionsprogramm der Gemeinschaft zur Gesundheitsförderung
programme of Community action on health promotion, information, education and training	Aktionsprogramm der Gemeinschaft für Gesundheitsförderung, Aufklärung, Erziehung und Ausbildung|Aktionsprogramm der Gemeinschaft zur Gesundheitsförderung, -aufklärung, -erziehung und -ausbildung|Aktionsprogramm der Gemeinschaft zur Gesundheitsförderung
Community Action Programme on Health Promotion	Aktionsprogramm der Gemeinschaft für Gesundheitsförderung, Aufklärung, Erziehung und Ausbildung|Aktionsprogramm der Gemeinschaft zur Gesundheitsförderung, -aufklärung, -erziehung und -ausbildung|Aktionsprogramm der Gemeinschaft zur Gesundheitsförderung
Social, Health and Family Affairs Committee	Ausschuss für Gesundheit, Familie und Soziales
Odds ratio	Odds-Ratio|relative Verhältnisziffer|Chancenverhältnis
CFP	Ciguatera
ciguatera	Ciguatera
Ciguatera Fish Poisoning	Ciguatera
quality of intervention implementation	Qualität der Durchführung der Präventionsmaßnahmen|Qualität der Programmimplementierung|Qualität der Durchführung der Maßnahmen|Qualität der Programmumsetzung
observer variation	Beobachterfehler
observer error	Beobachterfehler
left ventricular ejection time	AUZ|austreibungszeit
LVET	AUZ|austreibungszeit
plusonermin	Plusonermin
continuous X-ray spectrum	kontinuierliches Röntgenspektrum
Budin rule	Milchregel|Budin Regel
ataxic motor aphasia	motorische Aphasia
Broca's aphasia	motorische Aphasia
motor aphasia	motorische Aphasia
non-fluent aphasia	motorische Aphasia
expressive aphasia	motorische Aphasia
aphemia	motorische Aphasia
mU	mE|Milli-Einheit
milli-unit	mE|Milli-Einheit
fidarestat	Fidarestat
2-acetylaminofluorene	2 Azetylaminofluoren|2-AAF
2-AAF	2 Azetylaminofluoren|2-AAF
acetylaminofluorene	2 Azetylaminofluoren|2-AAF
AAF	2 Azetylaminofluoren|2-AAF
nitrendipine	Nitrendipin
intelligence test	Intelligenztest
intercurrent disease	interkurrente Erkrankung
concomitant disease	interkurrente Erkrankung
inter-current disease	interkurrente Erkrankung
vegetative symptom	vegetatives Symptom
disease of great socio-economic impact	Krankheit von weitreichender sozioökonomischer Bedeutung
endsystolic volume	endsystolisches Ventrikelvolumen|ESV
ESV	endsystolisches Ventrikelvolumen|ESV
Huber needle	Huber-Nadel
allo-antiserum	Alloantiserum
supra-orbital abscess	supraorbitaler Abszeß
metitepine	Metitepin
adenovirus	Adenovirus
liver tumour	Lebertumor
liver tumor	Lebertumor
capromab	Capromab
to resorb	resorbieren
methocarbamol	Methocarbamol
maturation	Reifung|Maturation
tinnitus	entotisches Geräusch
VCA	VCA|Virus-Capsid-Antigen
viral capsid antigen	VCA|Virus-Capsid-Antigen
amphotericin B	Amphotericin B
morbidity	Erkrankungsziffer|Morbiditätsziffer|Morbiditätsrate
morbidity rate	Erkrankungsziffer|Morbiditätsziffer|Morbiditätsrate
loading dose	Initialdosis|Anfangsdosis
ribostamycin	Ribostamycin
connected care	internetgestützte Pflege
cell intercalation	Zell-Interkalation
lumefantrine	Lumefantrin
load type	Lastart
initiative	Initiative
differential pulse polarography	differentielle Pulspolarographie|DPP
DPP	differentielle Pulspolarographie|DPP
automated operating room	automatisierter Operationssaal
human insulin analog	Humaninsulinanalog
promelase	Promelase
Human Frontier Programme	Human Frontier Programme
hypamnion	Hypamnion
sensory disability	Sinnesbehinderung|sensorische Behinderung
intermittent positive pressure respiration	Intermittent Positive Pressure Respiration|IPPR|Überdruckbeatmung|intermittierende Druckbeatmung
IPPB	Intermittent Positive Pressure Respiration|IPPR|Überdruckbeatmung|intermittierende Druckbeatmung
intermittent positive pressure breathing	Intermittent Positive Pressure Respiration|IPPR|Überdruckbeatmung|intermittierende Druckbeatmung
intermittent positive pressure ventilation	Intermittent Positive Pressure Respiration|IPPR|Überdruckbeatmung|intermittierende Druckbeatmung
IPPV	Intermittent Positive Pressure Respiration|IPPR|Überdruckbeatmung|intermittierende Druckbeatmung
IPPR	Intermittent Positive Pressure Respiration|IPPR|Überdruckbeatmung|intermittierende Druckbeatmung
Ortolani phenomenon	Ortolani Phänomen
exciting cause	Causa movens
Tietze’s syndrome	Tietze Syndrom
protozoon	Protozoen|Einzeller|Protozoon
protozoan	Protozoen|Einzeller|Protozoon
qualified nurse	fachkundiger Krankenpfleger|fachkundige Krankenschwester
cardiac filling pressure	Fuellungsdruck des Herzens
his 1-7 marker	Marker his 1-7
potential food demand	potentielle Nahrungsmittelnachfrage
rheumatology	Rheumatologie
magnesium citrate	Magnesiumcitrat
yeast drying	Hefetrocknung
person-time	Personenzeit
centromeric fission	zentromerische Spaltung
centromere misdivision	zentromerische Spaltung
blood sugar	Blutzuckerspiegel
blood sugar level	Blutzuckerspiegel
blood glucose	Blutzuckerspiegel
blood glucose level	Blutzuckerspiegel
noradrenaline	Norepinephrin|Noradrenalin
norepinephrine	Norepinephrin|Noradrenalin
propazolamide	Propazolamid
healthy volunteer	gesunder Proband
streptozocin	Streptozocin
furbucillin	Furbucillin
causes of death	Todesursachen
COD	Todesursachen
finished dosage form	Fertigarzneiform
crucial layer of mediation	wichtige Instanz der Vermittlung
reservoir of a virus	Wirt für ein Virus|Wirtsorganismus|Wirt
amiphenazole	Amiphenazol
excitotoxicity	Erregungstoxizität
managing the business	Führung der Geschäfte|Arbeitsweise
legal status of the child conceived	rechtlicher Status des gezeugten Kindes
todralazine	Todralazin
herbal products	pflanzliche Präparate
metandienone	Metandienon
tinabinol	Tinabinol
imipramine	Imipramin
auricle of the heart	Herzohr
anti-asthmatic cigarette	Asthma-Zigarette
haemostatic function	hämostatische Funktion
hyperici oleum	Hyperici oleum
isonicotinic acid hydrazide	Isoniazid
INH	Isoniazid
isoniazid	Isoniazid
hereditary spastic paraplegia	spastische Spinalparalyse
overlay medium	Kulturmedium|Überschichtung
systolic	systolisch
DNA data bank	DNA-Datenbank
prototype	Prototyp
tetanus	Wundstarrkrampf|Tetanus
to remain	Anstehen
identification method	Deckungsmethode
ipronidazole	Ipronidazol|E760
E760	Ipronidazol|E760
exacerbation	Exazerbation|Exacerbatio
immunity breeding	Immunitätszüchtung
clone library	Klonbibliothek
fresh air hose apparatus	Frischluft-Schlauchgerät
return projection	Rückwärtsprojektion
systemic adverse effect	negative systemische Wirkung|systemische Folge|systemische schädigende Wirkung
panic	Panik
cross linkage immobilization	Immobilisierung durch Quervernetzung
cross-linking immobilization	Immobilisierung durch Quervernetzung
Gavi	Globale Allianz für Impfstoffe und Immunisierung|GAVI-Allianz|GAVI
Gavi Alliance	Globale Allianz für Impfstoffe und Immunisierung|GAVI-Allianz|GAVI
Global Alliance for Vaccines and Immunization	Globale Allianz für Impfstoffe und Immunisierung|GAVI-Allianz|GAVI
Gavi, the Vaccine Alliance	Globale Allianz für Impfstoffe und Immunisierung|GAVI-Allianz|GAVI
diodone	Diodon
overload indicator	Ueberlagerungsanzeige
zinterol	Zinterol
moist rale	feuchte oder knackende Rasselgeräusche
orthosomycin	Orthosomycin
bulla	Blase|Bulla
bleb	Blase|Bulla
moxipraquine	Moxiprachin
product	Erzeugnis
heterologous in vivo insemination	heterologe intrakorporale Befruchtung
onset of disability	Eintritt der Behinderung
inoculum	Inokulum
infantile diabetes	infantiler Diabetes|kindlicher Diabetes
BMT	Knochenmarkverpflanzung|Knochenmarktransplantation
marrow transplant	Knochenmarkverpflanzung|Knochenmarktransplantation
bone marrow transplantation	Knochenmarkverpflanzung|Knochenmarktransplantation
bone-marrow transplant	Knochenmarkverpflanzung|Knochenmarktransplantation
depletion	Ausscheidung|Depletion
Lethal concentration	letale Konzentrazion|toedliche Konzentration|LK
LC	letale Konzentrazion|toedliche Konzentration|LK
dematerialization	Dematerialisation
anhydramnia	Anhydramnie
balloon catheter	Ballonsonde|Ballonkatheter
balloon-tip catheter	Ballonsonde|Ballonkatheter
steroid associated with stress	Steroid,das bei Stressreaktionen zirkuliert
systemic disease	systemische Erkrankung
carrier plate	Trägerplatte
cefdinir	Cefdinir
anatomical magnetic resonance imaging	Kernspinresonanztomographie|MRI
anatomical MRI	Kernspinresonanztomographie|MRI
secondary immune response	Anamnesephänomen
meproscillarin	Meproscillarin
seropositivity	Seropositivität
seropositiveness	Seropositivität
general state	allgemeiner Gesundheitszustand
isochromatid-type aberration	Isochromatiden-Aberration
herbal substance	pflanzlicher Stoff
oxytetracycline	Oxytetracyclin
rectal speculum	Rektalspekulum
noise control at source	Lärminderung an der Entstehungsstelle|Beseitigung des Lärms an der Quelle
X-ray source assembly	Röntgenstrahler einschließlich Blendensystem
bone marrow donation	Knochenmark-Spendung
aeration	Aaeration
air renewal	Aaeration
alifedrine	Alifedrin
no toxic effect level	nicht toxische Dosis
dimetipirium bromide	Dimetipiriumbromid
droclidinium bromide	Droclidiniumbromid
co-ordinating laboratory for vaccines	Koordinierungslabor für Impfstoffe
neuromuscular coordination	motorische Koordination
inferior pancreaticoduodenal artery	Arteria pancreaticoduodenalis inferior|Arteria pancreaticoduodenalis caudalis
criminal or penal sanctions relating to drug trafficking	strafrechtliche Verfolgung des Drogenhandels
ESCO working group on the analysis of risk and benefits of fortification of food with folic acid	ESCO-Arbeitsgruppe zur Analyse von Risiken und Nutzen der Anreicherung von Lebensmitteln mit Folsäure
polyene macrolide	Polyen-Makrolid
Voorhoeve’s disease	Osteopathia striata|Osteopathia striata Voorhoeve|Voorhoeve Syndrom
Osteopathia striata	Osteopathia striata|Osteopathia striata Voorhoeve|Voorhoeve Syndrom
mediator variable	intervenierende Variable|zwischengeschaltete Variable|vermittelnde Variable|qualitative Merkmale|Interventionsvariable|vermittelndes Merkmal
contingent variable	intervenierende Variable|zwischengeschaltete Variable|vermittelnde Variable|qualitative Merkmale|Interventionsvariable|vermittelndes Merkmal
mediating variable	intervenierende Variable|zwischengeschaltete Variable|vermittelnde Variable|qualitative Merkmale|Interventionsvariable|vermittelndes Merkmal
intermediate variable	intervenierende Variable|zwischengeschaltete Variable|vermittelnde Variable|qualitative Merkmale|Interventionsvariable|vermittelndes Merkmal
intervening variable	intervenierende Variable|zwischengeschaltete Variable|vermittelnde Variable|qualitative Merkmale|Interventionsvariable|vermittelndes Merkmal
duck fever	Entenfedern-Alveolitis
bovine somatotropin	Rindersomatotropin|Bovines Somatropin|BST|Rindersomatrophin
BST	Rindersomatotropin|Bovines Somatropin|BST|Rindersomatrophin
bovine somatotrophin	Rindersomatotropin|Bovines Somatropin|BST|Rindersomatrophin
extra-embryological membrane	extraembryonales Gewebe
sickness absence	krankheitsbedingte Fehlzeit
rigid tubular container	Verpackungsroehrchen
gamete packaging	Gametenverpackung
medio-lateral projection	medio-laterale Projektion
mertiatide	Mertiatid
suppository	Bougie|Suppositorium
suppositorium	Bougie|Suppositorium
internal diameter	Diameter interna
absolute specificity	Substratspezifizät
scheme for the mutual recognition of evaluation reports on pharmaceutical products	Plan zur gegenseitigen Anerkennung von Beurteilungsberichten für pharmazeutische Präparate|PER
PER	Plan zur gegenseitigen Anerkennung von Beurteilungsberichten für pharmazeutische Präparate|PER
schizophrenic psychosis	Spaltungsirresein|Schizophrenie
SNV	Sin-Nombre-Virus
Sin Nombre virus	Sin-Nombre-Virus
pregnancy complication	Risikoschwangerschaft
coronary circulation	Durchblutung der Herzkranzgefäße
psycho stimulants	Psychostimulantien
radiation response in tumour	Reaktion des Tumors auf Bestrahlung
polygenic	polygen
potency test	Potenzprüfung
cell de-adhesion	Abtrennung von Zellen
diphenylpyraline	Diphenylpyralin
intermediary area	Intermediärgebiet
cetostearyl alcohol	Cetostearylalkohol
base	Base
poison nut	Brechnuss
quaker button	Brechnuss
quarantined	unter Quarantäne gestellt
in quarantine	unter Quarantäne gestellt
automatic drop-out oxygen mask	Sauerstoffmaske mit Schnellauslösung|Sauerstoff-Fallmaske
competent authority	zuständige Behörde
reactive metabolite	reaktiver Metabolit
minimal area	Minimalgebiet
blank control	Blindkontrolle
WBV	Ganzkörperschwingung|Ganzkörper-Schwingung|Ganzkörper-Vibration
whole-body shock	Ganzkörperschwingung|Ganzkörper-Schwingung|Ganzkörper-Vibration
whole-body vibration	Ganzkörperschwingung|Ganzkörper-Schwingung|Ganzkörper-Vibration
wheelchair user	Rollstuhlfahrer
Midland Health Board	Gesundheitsamt für die Region Mitte
anti-vaxxer	Impfgegnerin|Impfgegner
vaccine denier	Impfgegnerin|Impfgegner
analysis of variance	Varianz-Analyse|Varianzanalyse
ANOVA	Varianz-Analyse|Varianzanalyse
pot plant	Topfpflanze
potted plant	Topfpflanze
congenital rubella syndrome	Gregg-Syndrom|Röteln-Embryopathie|Rubeolen-Embryopathie
CRS	Gregg-Syndrom|Röteln-Embryopathie|Rubeolen-Embryopathie
respiratory centers	Atemzentren
sulfapyrazole	Sulfapyrazol
emergency surgery	Notfallchirurgie
spike	Spike
balloon angioplasty	Ballon-Angioplastie
proheptazine	Proheptazin
skin protection	Hautschutz
interaction	Interaktion|Wirkungsinterferenz|Wechselwirkung|Genaktion
inhalant	Schnüffeldroge
list of questions	Fragenliste|Fragenkatalog
active substances in combination	Zusammensetzung aus mehreren wirksamen Bestandteilen
air-bone-gap	Innenohrreserve
arterial	arteriös|arteriosus|arteriell
cell lines	Zellinien
drazidox	Drazidox
mobile X-ray generator	ortsveränderlicher Röntgengenerator
speech pathologist	Sprachpathologe
triage station	Triage-Punkt
screening point	Triage-Punkt
nutritional practice	Ernährungsgewohnheit
dalfopristin	Dalfopristin
galvanofaradization	Galvanofaradisation
mouth pressure	Munddruck|PM
serum against allergic diseases	Serum gegen allergische Erscheinungen
shoulder	Schulter
synthetic testosterone	künstliches Testosteron
turgescence	Turgeszenz
kava kava	Kawapfeffer
kava	Kawapfeffer
chemical stress factor	chemischer Stressfaktor
parasite life cycle	Lebenszyklus des Parasiten
modulus	Modul|Spannungswert
analeptic	Belebungsmittel|Analeptikum
stimulant	Belebungsmittel|Analeptikum
threshold limit value-ceiling	Grenz-TLV
murodermin	Murodermin
behaviour therapy	Verhaltenstherapie
BT	Verhaltenstherapie
orange-tree	Orangenbaum|Apfelsinenbaum
orange tree	Orangenbaum|Apfelsinenbaum
orangewood	Orangenbaum|Apfelsinenbaum
herbal medicinal product	pflanzliches Arzneimittel
herbal medicine	pflanzliches Arzneimittel
tissue-based hygiene product	Hygieneprodukt aus Tissuepapier
indisetron	Indisetron
clocapramine	Clocapramin
benzoylmethylecgonine	Kokain|Erythroxylin|Benzoylekgoninmethylester
cocaine	Kokain|Erythroxylin|Benzoylekgoninmethylester
reductones	Reduktone
Specific research and technological development programme in the field of the life sciences and technologies for developing countries(1990 to 1994)	Spezifisches Programm für Forschung und technologische Entwicklung im Bereich der Biowissenschaften und-technologien für die Entwicklungsländer(1990-1994)
alveolus	Lungenbläschen|Alveole
lung alveolus	Lungenbläschen|Alveole
pulmonary alveolus	Lungenbläschen|Alveole
air sac	Lungenbläschen|Alveole
acetyl aminophenol	N-acetyl-para-aminophenol
Toroviridae	Toroviridae
after meals	n.d.E.|nach dem Essen
Joint Industrial Cooperation Forum	gemeinsames Forum für industrielle Zusammenarbeit
ceramic facing	Porzellanfacette
beta structure	Beta-Faltblatt-Struktur
physiological requirement for protein	physiologischer Proteinbedarf
disposable razor	Einmal-Rasierklinge
anterior recurrent branch of anterior tibial artery	Arteria recurrens tibialis anterior
xenon (133 Xe)	Xenon (133 Xe)
hazard rate	konditionale Risikorate
phenomenon of derealization	Losgelöstsein von der Wirklichkeit|Fehleinschätzungen der Realität|Unwirklichkeitsgefühle
pharmaceutical product	Medikament|Arzneimittel
pharmaceutical drug	Medikament|Arzneimittel
drug product	Medikament|Arzneimittel
drug	Medikament|Arzneimittel
pharmaceutical	Medikament|Arzneimittel
medicine	Medikament|Arzneimittel
medicinal product	Medikament|Arzneimittel
comparison group	Referenzgruppe|Vergleichsgruppe
compulsory medical consultation	Pflichtberatung
oxolinic acid	Oxolinsäure
apathy	Apathie|Teilnahmslosigkeit
air embolism	Luftembolie
vitreous body	Glaskoerper
finasteride	Finasterid
constitutive	konstitutiv
erythromicin	Erythromycin
cellacefate	Cellacefat
t-PA	Gewebe-Plasmin-Aktivator
tissue-type plasminogen activator	Gewebe-Plasmin-Aktivator
medico-legal procedures	medizinisch-rechtliches Verfahren
atropine	Atropin
zidapamide	Zidapamid
noise deafness	Lärmschwerhörigkeit
LIF	Leukämie-Inhibitions-Faktor|LIF
leukaemia inhibitory factor	Leukämie-Inhibitions-Faktor|LIF
mesothelioma	Mesotheliom
malignant mesothelioma	Mesotheliom
mesothelioma cancer	Mesotheliom
mefloquine	Meflochin
relict	Relikte
fundus of the eye	Augenhintergrund
zinc acetate	Zinkacetat
replacement of Brain-Heart Infusion media (BHI)	Ersatz der Herz-Hirn-Nährböden
enzyme degradation	Enzymabbau
calcium phytate	Calciumphytat
postnatal	postnatal
PYE	Patientenjahre unter Exposition
patient years exposure	Patientenjahre unter Exposition
subcapsular	subkapsulär
manganism	Manganose|Manganismus|Manganvergiftung
manganese poisoning	Manganose|Manganismus|Manganvergiftung
manganic psychosis	Manganose|Manganismus|Manganvergiftung
votumumab	Votumumab
sweat rate	Schweißsekretion
Wirsung pancreatic duct	Ductus Wirsungi|Ductus pancreaticus major|Ductus pancreaticus Wirsungi|Wirsung Gang|Ductus wirsungianus
mucopolysaccharidosis type IX	Mukopolysaccharidose Typ IX
MPS IX	Mukopolysaccharidose Typ IX
Natowicz syndrome	Mukopolysaccharidose Typ IX
perastine	Perastin
methane-utilizing bacterium	Methanbakterie
thiamin triphosphate	Thiamintriphosphat
actinic radiation	aktinische Strahlung
ageing	altern
aging	altern
ceftioxide	Ceftioxid
nodal tissue	Lymphknoten-Gewebe
colloidal precious metal	kolloides Edelmetall
glycoprotein 160	Glykoprotein 160|gp160
gp160	Glykoprotein 160|gp160
enviomycin	Enviomycin
lymphoblastoid	lymphoblastoid
freshly dissociated hepatocytes in an appropriate medium	frisch gewonnene Hepatozyten in einem geeigneten Medium
verotoxin	Verotoxin
aluminium phosphate	Aluminiumphosphat
knee jerk	Kniesehnenreflex
tranquilliser	Beruhigungsmittel|Tranquilizer
piroxicam	Piroxicam
blood analysis	Blutuntersuchung
medical radiology	medizinische Radiologie
autoimmunity	Autoimmunität
optimal pH	ph-Optimum
payer	Kostenträger
cinfenine	Cinfenin
prethcamide (crotethamide and cropropamide)	Prethcamid (Crotetamid und Cropropamid)
Castle test	Castle Versuch
secbutabarbital	Secbutabarbital
ICNIRP	ICNIRP|Internationale Kommission zum Schutz vor nicht-ionisierender Strahlung
International Commission on Non-Ionising Radiation Protection	ICNIRP|Internationale Kommission zum Schutz vor nicht-ionisierender Strahlung
etanterol	Etanterol
atamestane	Atamestan
Health Insurance Act	Krankenversicherungsgesetz
Law on Health Insurance	Krankenversicherungsgesetz
coexistence	Koexistenz
mutual evolution	Koexistenz
biotin	Biotin
Evaluation of veterinary medicines	Bewertung von Tierarzneimitteln
fatal injury	tödlicher Unfall|Unfall mit tödlichem Ausgang|Unfall mit Todesfolge
